id,userId,agentId,name,role,summary,techStackJson,linksJson,sourceDocumentIds,status,createdAt,updatedAt
cmoeerzra000yl204qwaaa9en,cmoeeraqt0000l204mklaix1j,cmoeerark0002l204aq5242ws,PandaAI量化因子大赛参赛项目,亚军选手,参加高强度金融技术竞赛PandaAI量化因子大赛，运用Python建模能力进行大规模数据清洗与量化因子挖掘，实现比赛模型收益率超50%，IC、IR指数排在前十，最终获得全国亚军，在数千名参赛选手中排名前1%,"[""Python"",""量化建模"",""数据清洗"",""量化因子挖掘""]",[],"[""cmoeerasq0004l204e2vd3gb0""]",confirmed,2026-04-25 14:02:13.318,2026-04-25 14:02:13.318
cmoeerzra0010l204rg0iddyi,cmoeeraqt0000l204mklaix1j,cmoeerark0002l204aq5242ws,海德学院篮球队赛季运营,队长,担任海德学院篮球队队长期间，优化团队战略协作达成赛事预期目标，领导18人规模团队完成赛季博弈，为对手建立能力画像并制定数字化战术储备，展现资源统筹与领导力,"[""能力画像"",""数字化战术储备""]",[],"[""cmoeerasq0004l204e2vd3gb0""]",confirmed,2026-04-25 14:02:13.318,2026-04-25 14:02:13.318
cmoeerzra0012l2044elius98,cmoeeraqt0000l204mklaix1j,cmoeerark0002l204aq5242ws,UPDF国际化品牌SEO与内容传播项目,内容运营与SEO实习生,实习期间执行SEO策略与内容矩阵策划，优化核心关键词搜索排名，提升国际化品牌在搜索引擎的曝光维度，协同推动国际化项目的传播闭环,"[""SEO策略"",""内容矩阵策划""]",[],"[""cmoeerasq0004l204e2vd3gb0""]",confirmed,2026-04-25 14:02:13.318,2026-04-25 14:02:13.318
cmoef1d450029l204whhwaaqe,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,腾讯课堂职业教育行业孵化项目,行业负责人,从0到1孵化腾讯课堂职业教育行业，实现营收从零破亿，ToB运营达成4大行业商家体量Top1，ToC运营实现精准用户增长数百万，构建行业级领先的生态竞争位,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002bl204lpzytbwt,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,腾讯广告新行业孵化项目,行业负责人,转岗广告部孵化新行业，实现营收从千万级增长至十亿级，打造标杆案例并形成可复制的解决方案，推动腾讯广告行业级数据产品上线，使KA客户广告营销效能提升160%,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002dl204ohh7em57,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,蕉书科技数字化咨询与创新业务孵化项目,联合创始人/咨询顾问,创办蕉书科技，主营数字化咨询和创新业务孵化，服务公司营收千万级增长,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002hl204344irb7v,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,顺丰大学数字化变革与产教融合项目,顺丰大学校长,主导企业大学数字化变革，用科技赋能60万人集团人才供应链提效提质；以“教学-教研-科研”产教融合方案联合业务方打进校园市场，输出行业人才培养标准、顺丰班课程体系等，获教育部课题和教学成果奖，生态模式首年试点为集团创收3000万,"[""OMO双轨运营"",""人才发展供应链数字化"",""学习平台""]",[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002jl204kuwyjtr4,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,美团人才体系升级项目,人力资源管理总监,基于新战略统筹10业务线、4序列的角色指南（岗责体系、价值评估、职级标准）升级，开发与业务战略深度咬合的胜任力模型，并体系化融入人才选用、育、留全流程,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002ll204vxwvr3gs,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,美团业务线流程再造与提效专项,人力资源管理总监,主导某业务线6000人精简至3200人的流程再造与提效专项，实现人员减半下营收逆增40%，新员工绩效提升15.8%；HPI绩效改进专项覆盖1590个业务单元降本3亿,[],[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002nl204q4dxf60f,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,AI独角兽公司AI战略落地与组织变革项目,总裁助理兼HRVP,系统诊断并完成AI人才规划，调整人才结构、重构任职资格，引进AI核心人才，推动在职员工AI应用率；协同COO“LTC+IPD”流程变革，实现敏捷项目型组织转型；60天优化冗员冗岗和组织瘦身20%，月均降本超500万,"[""LTC流程"",""IPD流程"",""AI人才评估体系""]",[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
cmoef1d45002pl204ru7iyciv,cmoeez0h50015l204plgfffa6,cmoeez0ht0017l2043tq52chv,工信部和中国电子学会AIGC专家认证课程体系建设,AIGC专家,以工信部和中国电子学会AIGC专家身份参与认证课程体系建设,"[""AIGC""]",[],"[""cmoeez0j20019l204iz8iz5hu""]",confirmed,2026-04-25 14:09:30.533,2026-04-25 14:09:30.533
